[zipcode=]경북 경산시 갑제동 한국조폐공사화폐본부  34522 ]
[zipcode=]경북 경산시 갑제동  34523 ]
[zipcode=]경북 경산시 계양동 경산경찰서  34524 ]
[zipcode=]경북 경산시 계양동 주공아파트  34525 ]
[zipcode=]경북 경산시 계양동 초원맘모스아파트  34526 ]
[zipcode=]경북 경산시 계양동  34527 ]
[zipcode=]경북 경산시 남방동  34528 ]
[zipcode=]경북 경산시 내동  34529 ]
[zipcode=]경북 경산시 대동 영남대학교  34530 ]
[zipcode=]경북 경산시 대동  34531 ]
[zipcode=]경북 경산시 대정동  34532 ]
[zipcode=]경북 경산시 대평동 대평그린빌아파트  34533 ]
[zipcode=]경북 경산시 대평동  34534 ]
[zipcode=]경북 경산시 백천동 경상병원  34535 ]
[zipcode=]경북 경산시 백천동 대신대학교  34536 ]
[zipcode=]경북 경산시 백천동 동화리버빌아파트  34537 ]
[zipcode=]경북 경산시 백천동 부영초록마을아파트  34538 ]
[zipcode=]경북 경산시 백천동 신나리아파트  34539 ]
[zipcode=]경북 경산시 백천동 월드메르디앙아파트  34540 ]
[zipcode=]경북 경산시 백천동 윤성아파트  34541 ]
[zipcode=]경북 경산시 백천동 주공아파트  34542 ]
[zipcode=]경북 경산시 백천동  34543 ]
[zipcode=]경북 경산시 사동 1차부영아파트 (101∼108동) 34544 ]
[zipcode=]경북 경산시 사동 2차부영아파트 (201∼208동) 34545 ]
[zipcode=]경북 경산시 사동 경산세무서  34546 ]
[zipcode=]경북 경산시 사동 경산우체국  34547 ]
[zipcode=]경북 경산시 사동 그린마을 (301∼507동) 34548 ]
[zipcode=]경북 경산시 사동 동산아파트  34549 ]
[zipcode=]경북 경산시 사동 부영원앙 (301∼507동) 34550 ]
[zipcode=]경북 경산시 사동 사동2지구화성파크드림아파트 (101∼108동) 34551 ]
[zipcode=]경북 경산시 사동 사동휴먼시아1단지아파트 (101∼110동) 34552 ]
[zipcode=]경북 경산시 사동 창신백조1차아파트  34553 ]
[zipcode=]경북 경산시 사동 창신백조2차아파트  34554 ]
[zipcode=]경북 경산시 사동 초원파크아파트  34555 ]
[zipcode=]경북 경산시 사동  34556 ]
[zipcode=]경북 경산시 사정동 삼산아파트  34557 ]
[zipcode=]경북 경산시 사정동 서한이다음아파트 (101∼104동) 34558 ]
[zipcode=]경북 경산시 사정동  34559 ]
[zipcode=]경북 경산시 삼남동  34560 ]
[zipcode=]경북 경산시 삼북동 주공아파트  34561 ]
[zipcode=]경북 경산시 삼북동  34562 ]
[zipcode=]경북 경산시 삼풍동 태왕드림하이츠  34563 ]
[zipcode=]경북 경산시 삼풍동  34564 ]
[zipcode=]경북 경산시 상방동 주공아파트 (101∼107동) 34565 ]
[zipcode=]경북 경산시 상방동 태성아파트  34566 ]
[zipcode=]경북 경산시 상방동  34567 ]
[zipcode=]경북 경산시 서상동  34568 ]
[zipcode=]경북 경산시 신교동  34569 ]
[zipcode=]경북 경산시 신천동  34570 ]
[zipcode=]경북 경산시 여천동  34571 ]
