[zipcode=]대전 대덕구 갈전동  17457 ]
[zipcode=]대전 대덕구 대화동 금성백조아파트  17458 ]
[zipcode=]대전 대덕구 대화동 산업용재유통상가  17459 ]
[zipcode=]대전 대덕구 대화동 세원풍남아파트  17460 ]
[zipcode=]대전 대덕구 대화동 소라아파트  17461 ]
[zipcode=]대전 대덕구 대화동 1∼27 17462 ]
[zipcode=]대전 대덕구 대화동 28∼39 17463 ]
[zipcode=]대전 대덕구 대화동 40∼170 17464 ]
[zipcode=]대전 대덕구 대화동 171∼300 17465 ]
[zipcode=]대전 대덕구 대화동 301∼400 17466 ]
[zipcode=]대전 대덕구 대화동 401∼800 17467 ]
[zipcode=]대전 대덕구 대화동  17468 ]
[zipcode=]대전 대덕구 덕암동 1∼10 17469 ]
[zipcode=]대전 대덕구 덕암동 11∼55 17470 ]
[zipcode=]대전 대덕구 덕암동 56∼110 17471 ]
[zipcode=]대전 대덕구 덕암동  17472 ]
[zipcode=]대전 대덕구 목상동 다사랑아파트  17473 ]
[zipcode=]대전 대덕구 목상동 동원상록수아파트  17474 ]
[zipcode=]대전 대덕구 목상동  17475 ]
[zipcode=]대전 대덕구 문평동 대전대덕경찰서  17476 ]
[zipcode=]대전 대덕구 문평동 대전대덕우체국  17477 ]
[zipcode=]대전 대덕구 문평동  17478 ]
[zipcode=]대전 대덕구 미호동  17479 ]
[zipcode=]대전 대덕구 법1동 대전지방국세청  17480 ]
[zipcode=]대전 대덕구 법1동 삼정하이츠타운  17481 ]
[zipcode=]대전 대덕구 법1동 삼호아파트  17482 ]
[zipcode=]대전 대덕구 법1동 영진아파트  17483 ]
[zipcode=]대전 대덕구 법1동 유원아파트  17484 ]
[zipcode=]대전 대덕구 법1동 주공아파트1단지 (101∼130동) 17485 ]
[zipcode=]대전 대덕구 법1동 주공아파트2단지 (201∼211동) 17486 ]
[zipcode=]대전 대덕구 법1동 주공아파트3단지 (301∼307동) 17487 ]
[zipcode=]대전 대덕구 법1동 280∼600 17488 ]
[zipcode=]대전 대덕구 법1동  17489 ]
[zipcode=]대전 대덕구 법2동 그린아파트  17490 ]
[zipcode=]대전 대덕구 법2동 대전동부경찰서  17491 ]
[zipcode=]대전 대덕구 법2동 보람아파트  17492 ]
[zipcode=]대전 대덕구 법2동 삼익소월아파트  17493 ]
[zipcode=]대전 대덕구 법2동 선비마을1단지아파트 (101∼111동) 17494 ]
[zipcode=]대전 대덕구 법2동 한마음아파트  17495 ]
[zipcode=]대전 대덕구 법2동 1∼279 17496 ]
[zipcode=]대전 대덕구 법2동  17497 ]
[zipcode=]대전 대덕구 법동  17498 ]
[zipcode=]대전 대덕구 부수동  17499 ]
[zipcode=]대전 대덕구 비래동 금성백조아파트  17500 ]
[zipcode=]대전 대덕구 비래동 삼익둥지아파트  17501 ]
[zipcode=]대전 대덕구 비래동 한신휴플러스아파트 (101∼105동) 17502 ]
[zipcode=]대전 대덕구 비래동 현대아파트  17503 ]
[zipcode=]대전 대덕구 비래동 1∼130 17504 ]
[zipcode=]대전 대덕구 비래동 131∼135 17505 ]
[zipcode=]대전 대덕구 비래동 136∼499 17506 ]
[zipcode=]대전 대덕구 비래동 500∼700 17507 ]
[zipcode=]대전 대덕구 비래동  17508 ]
[zipcode=]대전 대덕구 삼정동  17509 ]
[zipcode=]대전 대덕구 상서동 대창아파트  17510 ]
[zipcode=]대전 대덕구 상서동  17511 ]
[zipcode=]대전 대덕구 석봉동 금강엑슬루타워 (101∼112동) 17512 ]
[zipcode=]대전 대덕구 석봉동 서우아파트  17513 ]
[zipcode=]대전 대덕구 석봉동 원창등마루아파트  17514 ]
[zipcode=]대전 대덕구 석봉동 한밭아파트  17515 ]
[zipcode=]대전 대덕구 석봉동 1∼185 17516 ]
[zipcode=]대전 대덕구 석봉동 186∼300 17517 ]
[zipcode=]대전 대덕구 석봉동 301∼600 17518 ]
[zipcode=]대전 대덕구 석봉동  17519 ]
[zipcode=]대전 대덕구 송촌동 서오아파트  17520 ]
[zipcode=]대전 대덕구 송촌동 선비마을2단지아파트 (201∼211동) 17521 ]
[zipcode=]대전 대덕구 송촌동 선비마을3단지아파트 (301∼316동) 17522 ]
[zipcode=]대전 대덕구 송촌동 선비마을4단지아파트 (401∼417동) 17523 ]
[zipcode=]대전 대덕구 송촌동 선비마을5단지아파트 (501∼519동) 17524 ]
[zipcode=]대전 대덕구 송촌동 1∼400 17525 ]
[zipcode=]대전 대덕구 송촌동 401∼700 17526 ]
[zipcode=]대전 대덕구 송촌동  17527 ]
[zipcode=]대전 대덕구 신대동 주공아파트  17528 ]
[zipcode=]대전 대덕구 신대동  17529 ]
[zipcode=]대전 대덕구 신일동  17530 ]
[zipcode=]대전 대덕구 신탄진동 대우새여울아파트  17531 ]
[zipcode=]대전 대덕구 신탄진동 라이프새여울아파트  17532 ]
[zipcode=]대전 대덕구 신탄진동 한신새여울아파트  17533 ]
[zipcode=]대전 대덕구 신탄진동 1∼109 17534 ]
[zipcode=]대전 대덕구 신탄진동 110∼122 17535 ]
[zipcode=]대전 대덕구 신탄진동 123∼136 17536 ]
[zipcode=]대전 대덕구 신탄진동 137∼154 17537 ]
[zipcode=]대전 대덕구 신탄진동 155∼169 17538 ]
[zipcode=]대전 대덕구 신탄진동 170∼600 17539 ]
