[zipcode=]울산 남구 개운동  18397 ]
[zipcode=]울산 남구 고사동  18398 ]
[zipcode=]울산 남구 남화동  18399 ]
[zipcode=]울산 남구 달동 교보생명빌딩  18400 ]
[zipcode=]울산 남구 달동 남구문화원  18401 ]
[zipcode=]울산 남구 달동 남구청  18402 ]
[zipcode=]울산 남구 달동 남울산우체국  18403 ]
[zipcode=]울산 남구 달동 달동현대1차아파트 (100∼104동) 18404 ]
[zipcode=]울산 남구 달동 달동현대2차아파트 (201∼206동) 18405 ]
[zipcode=]울산 남구 달동 동양종합금융증권  18406 ]
[zipcode=]울산 남구 달동 삼성생명빌딩  18407 ]
[zipcode=]울산 남구 달동 삼성아파트  18408 ]
[zipcode=]울산 남구 달동 선경아파트  18409 ]
[zipcode=]울산 남구 달동 어울림아파트 (101∼103동) 18410 ]
[zipcode=]울산 남구 달동 에스케이뷰아파트 (101∼106동) 18411 ]
[zipcode=]울산 남구 달동 울산문화예술회관  18412 ]
[zipcode=]울산 남구 달동 주공아파트 (101∼307동) 18413 ]
[zipcode=]울산 남구 달동 한국방송공사울산방송총국  18414 ]
[zipcode=]울산 남구 달동 현대해상빌딩  18415 ]
[zipcode=]울산 남구 달동 1∼300 18416 ]
[zipcode=]울산 남구 달동 301∼627 18417 ]
[zipcode=]울산 남구 달동 628∼650 18418 ]
[zipcode=]울산 남구 달동 651∼859 18419 ]
[zipcode=]울산 남구 달동 860∼899 18420 ]
[zipcode=]울산 남구 달동 900∼1299 18421 ]
[zipcode=]울산 남구 달동 1300∼1367 18422 ]
[zipcode=]울산 남구 달동 1368∼1500 18423 ]
[zipcode=]울산 남구 달동  18424 ]
[zipcode=]울산 남구 두왕동  18425 ]
[zipcode=]울산 남구 매암동  18426 ]
[zipcode=]울산 남구 무거동 굴화주공아파트 (101∼211동) 18427 ]
[zipcode=]울산 남구 무거동 무거현대아파트  18428 ]
[zipcode=]울산 남구 무거동 삼익아파트  18429 ]
[zipcode=]울산 남구 무거동 삼호시영아파트  18430 ]
[zipcode=]울산 남구 무거동 삼호아파트  18431 ]
[zipcode=]울산 남구 무거동 삼호주공아파트  18432 ]
[zipcode=]울산 남구 무거동 선경아파트  18433 ]
[zipcode=]울산 남구 무거동 신복현대아파트  18434 ]
[zipcode=]울산 남구 무거동 옥현주공아파트 (101∼318동) 18435 ]
[zipcode=]울산 남구 무거동 울산대학교  18436 ]
[zipcode=]울산 남구 무거동 한라아파트 (101∼104동) 18437 ]
[zipcode=]울산 남구 무거동 1∼274 18438 ]
[zipcode=]울산 남구 무거동 275∼284 18439 ]
[zipcode=]울산 남구 무거동 285∼328 18440 ]
[zipcode=]울산 남구 무거동 329∼799 18441 ]
[zipcode=]울산 남구 무거동 800∼899 18442 ]
[zipcode=]울산 남구 무거동 900∼1100 18443 ]
[zipcode=]울산 남구 무거동 1101∼1160 18444 ]
[zipcode=]울산 남구 무거동 1161∼1184 18445 ]
[zipcode=]울산 남구 무거동 1185∼1399 18446 ]
[zipcode=]울산 남구 무거동 1400∼1499 18447 ]
[zipcode=]울산 남구 무거동 1500∼1600 18448 ]
[zipcode=]울산 남구 무거동 산1∼85 18449 ]
[zipcode=]울산 남구 무거동 산86∼1339 18450 ]
[zipcode=]울산 남구 무거동  18451 ]
[zipcode=]울산 남구 부곡동  18452 ]
[zipcode=]울산 남구 삼산동 대우푸르지오아파트  18453 ]
[zipcode=]울산 남구 삼산동 롯데백화점  18454 ]
[zipcode=]울산 남구 삼산동 벽산아파트  18455 ]
[zipcode=]울산 남구 삼산동 삼산현대아파트  18456 ]
[zipcode=]울산 남구 삼산동 삼신현대아파트  18457 ]
[zipcode=]울산 남구 삼산동 세양청구아파트  18458 ]
[zipcode=]울산 남구 삼산동 세이브존  18459 ]
[zipcode=]울산 남구 삼산동 아데라움아파트 (101∼108동) 18460 ]
[zipcode=]울산 남구 삼산동 우성아파트  18461 ]
[zipcode=]울산 남구 삼산동 울산남구보건소  18462 ]
[zipcode=]울산 남구 삼산동 울산세무서  18463 ]
[zipcode=]울산 남구 삼산동 평창2차아파트 (501∼606동) 18464 ]
[zipcode=]울산 남구 삼산동 평창3차아파트 (501∼606동) 18465 ]
[zipcode=]울산 남구 삼산동 한화꿈에그린아파트 (101∼105동) 18466 ]
[zipcode=]울산 남구 삼산동 한화꿈에그린아파트 (201∼204동) 18467 ]
[zipcode=]울산 남구 삼산동 현대문화1차아파트 (101∼201동) 18468 ]
[zipcode=]울산 남구 삼산동 현대문화2차아파트 (101∼201동) 18469 ]
[zipcode=]울산 남구 삼산동 현대백화점  18470 ]
[zipcode=]울산 남구 삼산동 1∼1311 18471 ]
[zipcode=]울산 남구 삼산동 1312∼1473 18472 ]
[zipcode=]울산 남구 삼산동 1474∼1481 18473 ]
[zipcode=]울산 남구 삼산동 1482∼1513 18474 ]
[zipcode=]울산 남구 삼산동 1514∼1526 18475 ]
[zipcode=]울산 남구 삼산동 1527∼1544 18476 ]
[zipcode=]울산 남구 삼산동 1545∼1550 18477 ]
[zipcode=]울산 남구 삼산동 1551∼1568 18478 ]
[zipcode=]울산 남구 삼산동 1569∼1589 18479 ]
[zipcode=]울산 남구 삼산동 1590∼1648 18480 ]
[zipcode=]울산 남구 삼산동 1649∼1657 18481 ]
[zipcode=]울산 남구 삼산동  18482 ]
[zipcode=]울산 남구 상개동  18483 ]
[zipcode=]울산 남구 선암동 서광아파트  18484 ]
[zipcode=]울산 남구 선암동 1∼500 18485 ]
[zipcode=]울산 남구 선암동 501∼610 18486 ]
[zipcode=]울산 남구 선암동 611∼690 18487 ]
[zipcode=]울산 남구 선암동  18488 ]
[zipcode=]울산 남구 성암동  18489 ]
[zipcode=]울산 남구 신정1동 울산광역시청  18490 ]
[zipcode=]울산 남구 신정1동 제일병원  18491 ]
[zipcode=]울산 남구 신정1동 517∼535 18492 ]
[zipcode=]울산 남구 신정1동 547∼549 18493 ]
[zipcode=]울산 남구 신정1동 555∼577 18494 ]
[zipcode=]울산 남구 신정1동 599∼643 18495 ]
[zipcode=]울산 남구 신정1동 644∼646 18496 ]
[zipcode=]울산 남구 신정1동 698∼705 18497 ]
[zipcode=]울산 남구 신정1동 708∼719 18498 ]
[zipcode=]울산 남구 신정1동 1130∼1143 18499 ]
[zipcode=]울산 남구 신정1동 1145∼1152 18500 ]
[zipcode=]울산 남구 신정1동 1153∼1169 18501 ]
[zipcode=]울산 남구 신정1동 1228∼1229 18502 ]
[zipcode=]울산 남구 신정1동 1234∼1261 18503 ]
[zipcode=]울산 남구 신정1동 1285∼1500 18504 ]
[zipcode=]울산 남구 신정1동 1501∼1598 18505 ]
[zipcode=]울산 남구 신정1동 1839∼1850 18506 ]
[zipcode=]울산 남구 신정1동  18507 ]
[zipcode=]울산 남구 신정2동 롯데캐슬킹덤아파트 (101∼103동) 18508 ]
[zipcode=]울산 남구 신정2동 문수로아이파크 (101∼209동) 18509 ]
[zipcode=]울산 남구 신정2동 신정현대아파트  18510 ]
[zipcode=]울산 남구 신정2동 올림푸스골든아파트  18511 ]
[zipcode=]울산 남구 신정2동 올림피아호텔  18512 ]
[zipcode=]울산 남구 신정2동 울산남부경찰서  18513 ]
[zipcode=]울산 남구 신정2동 울산여자고등학교  18514 ]
[zipcode=]울산 남구 신정2동 월드메르디앙아파트 (101∼106동) 18515 ]
[zipcode=]울산 남구 신정2동 중앙병원  18516 ]
[zipcode=]울산 남구 신정2동 큰빛병원  18517 ]
[zipcode=]울산 남구 신정2동 한화생명빌딩  18518 ]
[zipcode=]울산 남구 신정2동 647∼682 18519 ]
[zipcode=]울산 남구 신정2동 685∼697 18520 ]
[zipcode=]울산 남구 신정2동 922∼929 18521 ]
[zipcode=]울산 남구 신정2동 964∼1092 18522 ]
[zipcode=]울산 남구 신정2동 1097∼1129 18523 ]
[zipcode=]울산 남구 신정2동 1170∼1176 18524 ]
[zipcode=]울산 남구 신정2동 1177∼1199 18525 ]
[zipcode=]울산 남구 신정2동 1200∼1220 18526 ]
[zipcode=]울산 남구 신정2동 1221∼1227 18527 ]
[zipcode=]울산 남구 신정2동 1230∼1231 18528 ]
