[zipcode=]충남 계룡시 금암동 계룡시청  46703 ]
[zipcode=]충남 계룡시 금암동 신성미소지움1차아파트 (101∼113동) 46704 ]
[zipcode=]충남 계룡시 금암동 신성미소지움2차아파트 (201∼211동) 46705 ]
[zipcode=]충남 계룡시 금암동 우림루미아트아파트 (101∼114동) 46706 ]
[zipcode=]충남 계룡시 금암동  46707 ]
[zipcode=]충남 계룡시 두마면 농소리  46708 ]
[zipcode=]충남 계룡시 두마면 두계리  46709 ]
[zipcode=]충남 계룡시 두마면 두계리 계룡대림e-편한세상아파트 (101∼115동) 46710 ]
[zipcode=]충남 계룡시 두마면 두계리 계룡더샵아파트 (101∼118동) 46711 ]
[zipcode=]충남 계룡시 두마면 왕대리  46712 ]
[zipcode=]충남 계룡시 두마면 왕대리 대전우편집중국  46713 ]
[zipcode=]충남 계룡시 두마면 입암리  46714 ]
[zipcode=]충남 계룡시 두마면  46715 ]
[zipcode=]충남 계룡시 신도안면 남선리 계룡대아파트 (101∼146동) 46716 ]
[zipcode=]충남 계룡시 신도안면 남선리 계룡대아파트 (201∼219동) 46717 ]
[zipcode=]충남 계룡시 신도안면 남선리  46718 ]
[zipcode=]충남 계룡시 신도안면 부남리 사서함 501 46719 ]
[zipcode=]충남 계룡시 신도안면 부남리  46720 ]
[zipcode=]충남 계룡시 신도안면 석계리  46721 ]
[zipcode=]충남 계룡시 신도안면 용동리  46722 ]
[zipcode=]충남 계룡시 신도안면 정장리  46723 ]
[zipcode=]충남 계룡시 신도안면  46724 ]
[zipcode=]충남 계룡시 엄사면 광석리  46725 ]
[zipcode=]충남 계룡시 엄사면 도곡리  46726 ]
[zipcode=]충남 계룡시 엄사면 엄사리  46727 ]
[zipcode=]충남 계룡시 엄사면 엄사리 두산신성아파트 (101∼106동) 46728 ]
[zipcode=]충남 계룡시 엄사면 엄사리 비사벌아파트  46729 ]
[zipcode=]충남 계룡시 엄사면 엄사리 삼진아파트  46730 ]
[zipcode=]충남 계룡시 엄사면 엄사리 성원아파트  46731 ]
[zipcode=]충남 계룡시 엄사면 유동리  46732 ]
[zipcode=]충남 계룡시 엄사면 유동리 대동아파트  46733 ]
[zipcode=]충남 계룡시 엄사면 향한리  46734 ]
[zipcode=]충남 계룡시 엄사면  46735 ]
[zipcode=]충남 공주시 검상동  46736 ]
[zipcode=]충남 공주시 교동  46737 ]
[zipcode=]충남 공주시 금성동  46738 ]
[zipcode=]충남 공주시 금학동  46739 ]
[zipcode=]충남 공주시 금흥동 공주교도소  46740 ]
[zipcode=]충남 공주시 금흥동 새뜸현대4차아파트 (401∼406동) 46741 ]
[zipcode=]충남 공주시 금흥동  46742 ]
[zipcode=]충남 공주시 동현동  46743 ]
[zipcode=]충남 공주시 무릉동  46744 ]
[zipcode=]충남 공주시 반죽동 공주우체국  46745 ]
[zipcode=]충남 공주시 반죽동 국민연금공단공주지사  46746 ]
[zipcode=]충남 공주시 반죽동 1∼105 46747 ]
[zipcode=]충남 공주시 반죽동 106∼500 46748 ]
[zipcode=]충남 공주시 반죽동  46749 ]
[zipcode=]충남 공주시 봉정동  46750 ]
[zipcode=]충남 공주시 봉황동 공주교육대학교  46751 ]
[zipcode=]충남 공주시 봉황동 공주시청  46752 ]
[zipcode=]충남 공주시 봉황동  46753 ]
[zipcode=]충남 공주시 산성동  46754 ]
[zipcode=]충남 공주시 상왕동  46755 ]
[zipcode=]충남 공주시 석장리동  46756 ]
[zipcode=]충남 공주시 소학동  46757 ]
[zipcode=]충남 공주시 송선동  46758 ]
[zipcode=]충남 공주시 신관동 공주대학교  46759 ]
[zipcode=]충남 공주시 신관동 대동다숲아파트 (101∼201동) 46760 ]
[zipcode=]충남 공주시 신관동 대아곰나루아파트 (101∼104동) 46761 ]
[zipcode=]충남 공주시 신관동 대아아이투빌아파트 (105∼113동) 46762 ]
[zipcode=]충남 공주시 신관동 새뜸현대3차아파트 (301∼308동) 46763 ]
[zipcode=]충남 공주시 신관동 주공3단지아파트 (301∼315동) 46764 ]
[zipcode=]충남 공주시 신관동 주공4단지아파트 (401∼411동) 46765 ]
[zipcode=]충남 공주시 신관동 주공5단지아파트 (501∼505동) 46766 ]
[zipcode=]충남 공주시 신관동 현대힐스테이트아파트 (501∼508동) 46767 ]
[zipcode=]충남 공주시 신관동 1∼199 46768 ]
[zipcode=]충남 공주시 신관동 200∼549 46769 ]
[zipcode=]충남 공주시 신관동 550∼800 46770 ]
[zipcode=]충남 공주시 신관동 산1∼50 46771 ]
[zipcode=]충남 공주시 신관동  46772 ]
[zipcode=]충남 공주시 신기동  46773 ]
[zipcode=]충남 공주시 쌍신동  46774 ]
[zipcode=]충남 공주시 오곡동  46775 ]
[zipcode=]충남 공주시 옥룡동 공주대학교옥룡캠퍼스  46776 ]
[zipcode=]충남 공주시 옥룡동 주공아파트  46777 ]
[zipcode=]충남 공주시 옥룡동 1∼296 46778 ]
[zipcode=]충남 공주시 옥룡동 297∼600 46779 ]
[zipcode=]충남 공주시 옥룡동  46780 ]
[zipcode=]충남 공주시 웅진동  46781 ]
[zipcode=]충남 공주시 월미동  46782 ]
[zipcode=]충남 공주시 월송동  46783 ]
[zipcode=]충남 공주시 주미동  46784 ]
[zipcode=]충남 공주시 중동  46785 ]
[zipcode=]충남 공주시 중학동  46786 ]
[zipcode=]충남 공주시 태봉동  46787 ]
[zipcode=]충남 공주시 유구읍 구계리  46788 ]
[zipcode=]충남 공주시 유구읍 노동리  46789 ]
[zipcode=]충남 공주시 유구읍 녹천리  46790 ]
[zipcode=]충남 공주시 유구읍 덕곡리  46791 ]
[zipcode=]충남 공주시 유구읍 동해리  46792 ]
[zipcode=]충남 공주시 유구읍 만천리  46793 ]
[zipcode=]충남 공주시 유구읍 명곡리  46794 ]
[zipcode=]충남 공주시 유구읍 문금리  46795 ]
[zipcode=]충남 공주시 유구읍 백교리  46796 ]
[zipcode=]충남 공주시 유구읍 석남리  46797 ]
[zipcode=]충남 공주시 유구읍 세동리  46798 ]
[zipcode=]충남 공주시 유구읍 신달리  46799 ]
[zipcode=]충남 공주시 유구읍 신영리  46800 ]
[zipcode=]충남 공주시 유구읍 연종리  46801 ]
[zipcode=]충남 공주시 유구읍 유구리  46802 ]
[zipcode=]충남 공주시 유구읍 입석리  46803 ]
[zipcode=]충남 공주시 유구읍 추계리  46804 ]
[zipcode=]충남 공주시 유구읍 탑곡리  46805 ]
[zipcode=]충남 공주시 유구읍  46806 ]
[zipcode=]충남 공주시 계룡면 경천리  46807 ]
[zipcode=]충남 공주시 계룡면 구왕리  46808 ]
[zipcode=]충남 공주시 계룡면 금대리  46809 ]
[zipcode=]충남 공주시 계룡면 기산리  46810 ]
[zipcode=]충남 공주시 계룡면 내흥리  46811 ]
[zipcode=]충남 공주시 계룡면 봉명리  46812 ]
[zipcode=]충남 공주시 계룡면 상성리  46813 ]
[zipcode=]충남 공주시 계룡면 양화리  46814 ]
[zipcode=]충남 공주시 계룡면 월곡리  46815 ]
[zipcode=]충남 공주시 계룡면 월암리  46816 ]
[zipcode=]충남 공주시 계룡면 유평리  46817 ]
[zipcode=]충남 공주시 계룡면 죽곡리  46818 ]
[zipcode=]충남 공주시 계룡면 중장리  46819 ]
[zipcode=]충남 공주시 계룡면 하대리  46820 ]
[zipcode=]충남 공주시 계룡면 향지리  46821 ]
[zipcode=]충남 공주시 계룡면 화은리  46822 ]
[zipcode=]충남 공주시 계룡면 화헌리  46823 ]
[zipcode=]충남 공주시 계룡면  46824 ]
[zipcode=]충남 공주시 반포면 공암리  46825 ]
[zipcode=]충남 공주시 반포면 마암리  46826 ]
[zipcode=]충남 공주시 반포면 봉곡리 공주치료감호소  46827 ]
[zipcode=]충남 공주시 반포면 봉곡리  46828 ]
[zipcode=]충남 공주시 반포면 상신리  46829 ]
[zipcode=]충남 공주시 반포면 송곡리  46830 ]
[zipcode=]충남 공주시 반포면 온천리  46831 ]
[zipcode=]충남 공주시 반포면 하신리  46832 ]
[zipcode=]충남 공주시 반포면 학봉리  46833 ]
[zipcode=]충남 공주시 반포면  46834 ]
[zipcode=]충남 공주시 사곡면 가교리  46835 ]
[zipcode=]충남 공주시 사곡면 계실리  46836 ]
[zipcode=]충남 공주시 사곡면 고당리  46837 ]
[zipcode=]충남 공주시 사곡면 대중리  46838 ]
[zipcode=]충남 공주시 사곡면 부곡리  46839 ]
[zipcode=]충남 공주시 사곡면 신영리  46840 ]
[zipcode=]충남 공주시 사곡면 운암리  46841 ]
[zipcode=]충남 공주시 사곡면 월가리  46842 ]
[zipcode=]충남 공주시 사곡면 유룡리  46843 ]
[zipcode=]충남 공주시 사곡면 해월리  46844 ]
[zipcode=]충남 공주시 사곡면 호계리  46845 ]
[zipcode=]충남 공주시 사곡면 화월리  46846 ]
[zipcode=]충남 공주시 사곡면 회학리  46847 ]
[zipcode=]충남 공주시 사곡면  46848 ]
[zipcode=]충남 공주시 신풍면 대룡리  46849 ]
[zipcode=]충남 공주시 신풍면 동원리  46850 ]
[zipcode=]충남 공주시 신풍면 백룡리  46851 ]
[zipcode=]충남 공주시 신풍면 봉갑리  46852 ]
[zipcode=]충남 공주시 신풍면 산정리  46853 ]
[zipcode=]충남 공주시 신풍면 선학리  46854 ]
[zipcode=]충남 공주시 신풍면 쌍대리  46855 ]
[zipcode=]충남 공주시 신풍면 영정리  46856 ]
[zipcode=]충남 공주시 신풍면 용수리  46857 ]
[zipcode=]충남 공주시 신풍면 입동리  46858 ]
[zipcode=]충남 공주시 신풍면 조평리  46859 ]
[zipcode=]충남 공주시 신풍면 청흥리  46860 ]
[zipcode=]충남 공주시 신풍면 평소리  46861 ]
[zipcode=]충남 공주시 신풍면 화흥리  46862 ]
[zipcode=]충남 공주시 신풍면  46863 ]
[zipcode=]충남 공주시 우성면 귀산리  46864 ]
[zipcode=]충남 공주시 우성면 내산리  46865 ]
[zipcode=]충남 공주시 우성면 단지리  46866 ]
[zipcode=]충남 공주시 우성면 대성리  46867 ]
[zipcode=]충남 공주시 우성면 도천리  46868 ]
[zipcode=]충남 공주시 우성면 동곡리  46869 ]
[zipcode=]충남 공주시 우성면 동대리  46870 ]
[zipcode=]충남 공주시 우성면 목천리  46871 ]
[zipcode=]충남 공주시 우성면 반촌리  46872 ]
[zipcode=]충남 공주시 우성면 방문리  46873 ]
[zipcode=]충남 공주시 우성면 방흥리  46874 ]
[zipcode=]충남 공주시 우성면 보흥리  46875 ]
[zipcode=]충남 공주시 우성면 봉현리  46876 ]
[zipcode=]충남 공주시 우성면 상서리  46877 ]
[zipcode=]충남 공주시 우성면 신웅리  46878 ]
[zipcode=]충남 공주시 우성면 안양리  46879 ]
[zipcode=]충남 공주시 우성면 어천리  46880 ]
[zipcode=]충남 공주시 우성면 오동리  46881 ]
[zipcode=]충남 공주시 우성면 옥성리  46882 ]
