[zipcode=]충북 제천시 강제동 강저휴먼시아2단지아파트 (201∼205동) 49800 ]
[zipcode=]충북 제천시 강제동 강저휴먼시아3단지아파트 (301∼309동) 49801 ]
[zipcode=]충북 제천시 강제동  49802 ]
[zipcode=]충북 제천시 고명동  49803 ]
[zipcode=]충북 제천시 고암동 두진백로아파트  49804 ]
[zipcode=]충북 제천시 고암동 주공아파트 (101∼114동) 49805 ]
[zipcode=]충북 제천시 고암동 1∼1099 49806 ]
[zipcode=]충북 제천시 고암동 1100∼1500 49807 ]
[zipcode=]충북 제천시 고암동  49808 ]
[zipcode=]충북 제천시 교동  49809 ]
[zipcode=]충북 제천시 남천동  49810 ]
[zipcode=]충북 제천시 대랑동  49811 ]
[zipcode=]충북 제천시 동현동  49812 ]
[zipcode=]충북 제천시 두학동  49813 ]
[zipcode=]충북 제천시 명동  49814 ]
[zipcode=]충북 제천시 명지동  49815 ]
[zipcode=]충북 제천시 모산동  49816 ]
[zipcode=]충북 제천시 산곡동  49817 ]
[zipcode=]충북 제천시 서부동 제천서울병원  49818 ]
[zipcode=]충북 제천시 서부동  49819 ]
[zipcode=]충북 제천시 신동  49820 ]
[zipcode=]충북 제천시 신백동 극동아파트  49821 ]
[zipcode=]충북 제천시 신백동 덕일한마음1차아파트 (101∼106동) 49822 ]
[zipcode=]충북 제천시 신백동 덕일한마음2차아파트 (201∼204동) 49823 ]
[zipcode=]충북 제천시 신백동 신백로즈웰아파트  49824 ]
[zipcode=]충북 제천시 신백동 화성아파트 (1∼16동) 49825 ]
[zipcode=]충북 제천시 신백동 1∼206 49826 ]
[zipcode=]충북 제천시 신백동 207∼1000 49827 ]
[zipcode=]충북 제천시 신백동  49828 ]
[zipcode=]충북 제천시 신월동 대원대학  49829 ]
[zipcode=]충북 제천시 신월동 세명대학교  49830 ]
[zipcode=]충북 제천시 신월동  49831 ]
[zipcode=]충북 제천시 영천동 강저휴먼시아1단지아파트 (101∼108동) 49832 ]
[zipcode=]충북 제천시 영천동  49833 ]
[zipcode=]충북 제천시 왕암동  49834 ]
[zipcode=]충북 제천시 의림동  49835 ]
[zipcode=]충북 제천시 자작동  49836 ]
[zipcode=]충북 제천시 장락동 미림청솔아파트  49837 ]
[zipcode=]충북 제천시 장락동 제천장락롯데캐슬아파트 (101∼106동) 49838 ]
[zipcode=]충북 제천시 장락동 주공아파트 (101∼110동) 49839 ]
[zipcode=]충북 제천시 장락동 주공아파트 (201∼209동) 49840 ]
[zipcode=]충북 제천시 장락동 주공아파트 (301∼306동) 49841 ]
[zipcode=]충북 제천시 장락동 주공아파트 (401∼406동) 49842 ]
[zipcode=]충북 제천시 장락동 1∼729 49843 ]
[zipcode=]충북 제천시 장락동 730∼1300 49844 ]
[zipcode=]충북 제천시 장락동  49845 ]
[zipcode=]충북 제천시 중앙로1가  49846 ]
[zipcode=]충북 제천시 중앙로2가 청주지방법원제천지원  49847 ]
[zipcode=]충북 제천시 중앙로2가  49848 ]
[zipcode=]충북 제천시 천남동 제천시청  49849 ]
[zipcode=]충북 제천시 천남동  49850 ]
[zipcode=]충북 제천시 청전동 덕일한마음아파트  49851 ]
[zipcode=]충북 제천시 청전동 두진백로아파트  49852 ]
[zipcode=]충북 제천시 청전동 비둘기아파트  49853 ]
[zipcode=]충북 제천시 청전동 제천우체국  49854 ]
[zipcode=]충북 제천시 청전동 한국전력충북본부송변전사업실  49855 ]
[zipcode=]충북 제천시 청전동 주공아파트1단지 (1∼15동) 49856 ]
[zipcode=]충북 제천시 청전동 현대아파트  49857 ]
[zipcode=]충북 제천시 청전동 1∼50 49858 ]
[zipcode=]충북 제천시 청전동 51∼110 49859 ]
[zipcode=]충북 제천시 청전동 111∼168 49860 ]
[zipcode=]충북 제천시 청전동 169∼579 49861 ]
[zipcode=]충북 제천시 청전동 580∼602 49862 ]
[zipcode=]충북 제천시 청전동 603∼639 49863 ]
[zipcode=]충북 제천시 청전동 640∼2000 49864 ]
[zipcode=]충북 제천시 청전동  49865 ]
[zipcode=]충북 제천시 하소동 그린코아루아파트 (101∼112동) 49866 ]
[zipcode=]충북 제천시 하소동 주공아파트 (101∼112동) 49867 ]
[zipcode=]충북 제천시 하소동 주공아파트 (201∼208동) 49868 ]
[zipcode=]충북 제천시 하소동 주공아파트 (301∼304동) 49869 ]
[zipcode=]충북 제천시 하소동 주공아파트 (401∼406동) 49870 ]
[zipcode=]충북 제천시 하소동 청구아파트  49871 ]
[zipcode=]충북 제천시 하소동 현대아파트  49872 ]
[zipcode=]충북 제천시 하소동  49873 ]
[zipcode=]충북 제천시 화산동  49874 ]
[zipcode=]충북 제천시 흑석동  49875 ]
[zipcode=]충북 제천시 봉양읍 공전리  49876 ]
[zipcode=]충북 제천시 봉양읍 구곡리  49877 ]
[zipcode=]충북 제천시 봉양읍 구학리  49878 ]
[zipcode=]충북 제천시 봉양읍 마곡리  49879 ]
[zipcode=]충북 제천시 봉양읍 명도리  49880 ]
[zipcode=]충북 제천시 봉양읍 명암리  49881 ]
[zipcode=]충북 제천시 봉양읍 미당리 덕일한마음아파트  49882 ]
[zipcode=]충북 제천시 봉양읍 미당리  49883 ]
[zipcode=]충북 제천시 봉양읍 봉양리  49884 ]
[zipcode=]충북 제천시 봉양읍 삼거리  49885 ]
[zipcode=]충북 제천시 봉양읍 연박리  49886 ]
[zipcode=]충북 제천시 봉양읍 옥전리  49887 ]
[zipcode=]충북 제천시 봉양읍 원박리  49888 ]
[zipcode=]충북 제천시 봉양읍 장평리  49889 ]
[zipcode=]충북 제천시 봉양읍 주포리 중앙아파트  49890 ]
[zipcode=]충북 제천시 봉양읍 주포리  49891 ]
[zipcode=]충북 제천시 봉양읍 팔송리  49892 ]
[zipcode=]충북 제천시 봉양읍 학산리  49893 ]
[zipcode=]충북 제천시 봉양읍  49894 ]
[zipcode=]충북 제천시 금성면 구룡리  49895 ]
[zipcode=]충북 제천시 금성면 대장리  49896 ]
[zipcode=]충북 제천시 금성면 동막리  49897 ]
[zipcode=]충북 제천시 금성면 사곡리  49898 ]
[zipcode=]충북 제천시 금성면 성내리  49899 ]
[zipcode=]충북 제천시 금성면 양화리  49900 ]
[zipcode=]충북 제천시 금성면 월굴리  49901 ]
[zipcode=]충북 제천시 금성면 월림리  49902 ]
[zipcode=]충북 제천시 금성면 위림리  49903 ]
[zipcode=]충북 제천시 금성면 적덕리  49904 ]
[zipcode=]충북 제천시 금성면 중전리  49905 ]
[zipcode=]충북 제천시 금성면 진리  49906 ]
[zipcode=]충북 제천시 금성면 포전리  49907 ]
[zipcode=]충북 제천시 금성면 활산리  49908 ]
[zipcode=]충북 제천시 금성면  49909 ]
[zipcode=]충북 제천시 덕산면 광천리  49910 ]
[zipcode=]충북 제천시 덕산면 도기리  49911 ]
[zipcode=]충북 제천시 덕산면 도전리  49912 ]
[zipcode=]충북 제천시 덕산면 선고리  49913 ]
[zipcode=]충북 제천시 덕산면 성내리  49914 ]
[zipcode=]충북 제천시 덕산면 성암리  49915 ]
[zipcode=]충북 제천시 덕산면 수산리  49916 ]
[zipcode=]충북 제천시 덕산면 신현리  49917 ]
[zipcode=]충북 제천시 덕산면 억수리  49918 ]
[zipcode=]충북 제천시 덕산면 월롱리  49919 ]
[zipcode=]충북 제천시 덕산면 월악리  49920 ]
[zipcode=]충북 제천시 덕산면 후촌리  49921 ]
[zipcode=]충북 제천시 덕산면  49922 ]
[zipcode=]충북 제천시 백운면 덕동리  49923 ]
[zipcode=]충북 제천시 백운면 도곡리  49924 ]
[zipcode=]충북 제천시 백운면 모정리  49925 ]
[zipcode=]충북 제천시 백운면 방학리  49926 ]
[zipcode=]충북 제천시 백운면 애련리  49927 ]
[zipcode=]충북 제천시 백운면 운학리  49928 ]
[zipcode=]충북 제천시 백운면 원월리  49929 ]
[zipcode=]충북 제천시 백운면 평동리  49930 ]
[zipcode=]충북 제천시 백운면 화당리  49931 ]
[zipcode=]충북 제천시 백운면  49932 ]
[zipcode=]충북 제천시 송학면 도화리  49933 ]
[zipcode=]충북 제천시 송학면 무도리  49934 ]
[zipcode=]충북 제천시 송학면 송한리  49935 ]
[zipcode=]충북 제천시 송학면 시곡리  49936 ]
[zipcode=]충북 제천시 송학면 오미리  49937 ]
[zipcode=]충북 제천시 송학면 입석리  49938 ]
[zipcode=]충북 제천시 송학면 장곡리  49939 ]
[zipcode=]충북 제천시 송학면 포전리  49940 ]
[zipcode=]충북 제천시 송학면  49941 ]
[zipcode=]충북 제천시 수산면 계란리  49942 ]
[zipcode=]충북 제천시 수산면 고명리  49943 ]
[zipcode=]충북 제천시 수산면 괴곡리  49944 ]
[zipcode=]충북 제천시 수산면 구곡리  49945 ]
[zipcode=]충북 제천시 수산면 내리  49946 ]
[zipcode=]충북 제천시 수산면 능강리  49947 ]
[zipcode=]충북 제천시 수산면 다불리  49948 ]
[zipcode=]충북 제천시 수산면 대전리  49949 ]
[zipcode=]충북 제천시 수산면 도전리  49950 ]
[zipcode=]충북 제천시 수산면 상천리  49951 ]
[zipcode=]충북 제천시 수산면 서곡리  49952 ]
[zipcode=]충북 제천시 수산면 성리  49953 ]
[zipcode=]충북 제천시 수산면 수곡리  49954 ]
[zipcode=]충북 제천시 수산면 수리  49955 ]
[zipcode=]충북 제천시 수산면 수산리  49956 ]
[zipcode=]충북 제천시 수산면 오티리  49957 ]
[zipcode=]충북 제천시 수산면 원대리  49958 ]
[zipcode=]충북 제천시 수산면 율지리  49959 ]
[zipcode=]충북 제천시 수산면 적곡리  49960 ]
[zipcode=]충북 제천시 수산면 전곡리  49961 ]
[zipcode=]충북 제천시 수산면 지곡리  49962 ]
[zipcode=]충북 제천시 수산면 하천리  49963 ]
[zipcode=]충북 제천시 수산면  49964 ]
[zipcode=]충북 제천시 청풍면 계산리  49965 ]
[zipcode=]충북 제천시 청풍면 광의리  49966 ]
[zipcode=]충북 제천시 청풍면 교리  49967 ]
[zipcode=]충북 제천시 청풍면 단돈리  49968 ]
[zipcode=]충북 제천시 청풍면 단리  49969 ]
[zipcode=]충북 제천시 청풍면 대류리  49970 ]
[zipcode=]충북 제천시 청풍면 도곡리  49971 ]
[zipcode=]충북 제천시 청풍면 도리  49972 ]
[zipcode=]충북 제천시 청풍면 도실리  49973 ]
[zipcode=]충북 제천시 청풍면 도화리  49974 ]
[zipcode=]충북 제천시 청풍면 물태리  49975 ]
[zipcode=]충북 제천시 청풍면 방흥리  49976 ]
[zipcode=]충북 제천시 청풍면 부산리  49977 ]
[zipcode=]충북 제천시 청풍면 북진리  49978 ]
[zipcode=]충북 제천시 청풍면 사오리  49979 ]
[zipcode=]충북 제천시 청풍면 신리  49980 ]
[zipcode=]충북 제천시 청풍면 실리곡리  49981 ]
[zipcode=]충북 제천시 청풍면 양평리  49982 ]
[zipcode=]충북 제천시 청풍면 연곡리  49983 ]
[zipcode=]충북 제천시 청풍면 연론리  49984 ]
[zipcode=]충북 제천시 청풍면 오산리  49985 ]
[zipcode=]충북 제천시 청풍면 용곡리  49986 ]
[zipcode=]충북 제천시 청풍면 읍리  49987 ]
[zipcode=]충북 제천시 청풍면 장선리  49988 ]
[zipcode=]충북 제천시 청풍면 진목리  49989 ]
[zipcode=]충북 제천시 청풍면 학현리  49990 ]
[zipcode=]충북 제천시 청풍면 황석리  49991 ]
[zipcode=]충북 제천시 청풍면 후산리  49992 ]
[zipcode=]충북 제천시 청풍면  49993 ]
[zipcode=]충북 제천시 한수면 덕곡리  49994 ]
[zipcode=]충북 제천시 한수면 복평리  49995 ]
[zipcode=]충북 제천시 한수면 북노리  49996 ]
[zipcode=]충북 제천시 한수면 상노리  49997 ]
[zipcode=]충북 제천시 한수면 서창리  49998 ]
[zipcode=]충북 제천시 한수면 송계리  49999 ]
[zipcode=]충북 제천시 한수면 역리  50000 ]
[zipcode=]충북 제천시 한수면 탄지리  50001 ]
[zipcode=]충북 제천시 한수면 한천리  50002 ]
[zipcode=]충북 제천시 한수면 황강리  50003 ]
[zipcode=]충북 제천시 한수면  50004 ]
[zipcode=]충북 제천시 제천우체국사서함  50005 ]
[zipcode=]충북 청주시 상당구 금천동 뉴타운아파트 (101∼106동) 50006 ]
[zipcode=]충북 청주시 상당구 금천동 장자마을1단지부영아파트 (101∼105동) 50007 ]
[zipcode=]충북 청주시 상당구 금천동 장자마을3단지부영아파트 (301∼305동) 50008 ]
[zipcode=]충북 청주시 상당구 금천동 장자마을5단지부영아파트 (501∼506동) 50009 ]
[zipcode=]충북 청주시 상당구 금천동 장자마을부영e-그린타운2차아파트 (601∼606동) 50010 ]
[zipcode=]충북 청주시 상당구 금천동 장자마을부영아파트 (701∼1005동) 50011 ]
[zipcode=]충북 청주시 상당구 금천동 장자마을현대아파트 (201∼210동) 50012 ]
[zipcode=]충북 청주시 상당구 금천동 현대아파트  50013 ]
